2023-06-16T15:59:09.442 INFO book /api/v1/book/ dequequedata  started ResponseTime:0s
2023-06-16T15:59:09.444 INFO book /api/v1/book/ dequequedata  Data received ResponseTime:1.7756ms
2023-06-16T15:59:09.453 ERROR book /api/v1/book/:title  Getbook Error unmarshaling cached books data:json: cannot unmarshal object into Go value of type []models.Book ResponseTime:
2023-06-16T15:59:09.580 Error book /api/v1/book/ dequeuedata  empty slice found ResponseTime:
2023-06-16T15:59:09.593 ERROR book /api/v1/book/:title  Getbook Error unmarshaling cached books data:json: cannot unmarshal object into Go value of type []models.Book ResponseTime:
2023-06-16T15:59:09.609 Error book /api/v1/book/ dequeuedata  empty slice found ResponseTime:
2023-06-16T15:59:09.620 ERROR book /api/v1/book/:title  Getbook Error unmarshaling cached books data:json: cannot unmarshal object into Go value of type []models.Book ResponseTime:
2023-06-16T15:59:09.641 Error book /api/v1/book/ dequeuedata  empty slice found ResponseTime:
2023-06-16T15:59:09.652 ERROR book /api/v1/book/:title  Getbook Error unmarshaling cached books data:json: cannot unmarshal object into Go value of type []models.Book ResponseTime:
2023-06-16T15:59:09.668 Error book /api/v1/book/ dequeuedata  empty slice found ResponseTime:
2023-06-16T15:59:09.683 ERROR book /api/v1/book/:title  Getbook Error unmarshaling cached books data:json: cannot unmarshal object into Go value of type []models.Book ResponseTime:
2023-06-16T15:59:09.697 Error book /api/v1/book/ dequeuedata  empty slice found ResponseTime:
2023-06-16T15:59:09.710 INFO book /api/v1/book/ dequequedata  ended ResponseTime:267.1683ms
2023-06-16T15:59:22.308 INFO Main   main Graceful shutdown ResponseTime:37.7597294s
