2023-06-16T16:02:25.105 INFO book /api/v1/book/ dequequedata  started ResponseTime:0s
2023-06-16T16:02:25.105 INFO Main   main Application starting ResponseTime:0s
2023-06-16T16:02:28.180 INFO database redis  Connect Connection opened to the Redis server ResponseTime:1.7121ms
2023-06-16T16:02:28.187 INFO Main   main Database initialized ResponseTime:3.0820273s
2023-06-16T16:02:42.074 INFO book /api/v1/book/ dequequedata  started ResponseTime:0s
2023-06-16T16:02:42.084 INFO book /api/v1/book/ dequequedata  Data received ResponseTime:9.8797ms
2023-06-16T16:02:42.093 ERROR book /api/v1/book/:title  Getbook Error unmarshaling cached books data:json: Unmarshal(non-pointer []models.Book) ResponseTime:
2023-06-16T16:02:42.209 Error book /api/v1/book/ dequeuedata  empty slice found ResponseTime:
2023-06-16T16:02:42.223 ERROR book /api/v1/book/:title  Getbook Error unmarshaling cached books data:json: Unmarshal(non-pointer []models.Book) ResponseTime:
2023-06-16T16:02:42.244 Error book /api/v1/book/ dequeuedata  empty slice found ResponseTime:
2023-06-16T16:02:42.258 ERROR book /api/v1/book/:title  Getbook Error unmarshaling cached books data:json: Unmarshal(non-pointer []models.Book) ResponseTime:
2023-06-16T16:02:42.277 Error book /api/v1/book/ dequeuedata  empty slice found ResponseTime:
2023-06-16T16:02:42.295 ERROR book /api/v1/book/:title  Getbook Error unmarshaling cached books data:json: Unmarshal(non-pointer []models.Book) ResponseTime:
2023-06-16T16:02:42.314 Error book /api/v1/book/ dequeuedata  empty slice found ResponseTime:
2023-06-16T16:02:42.328 ERROR book /api/v1/book/:title  Getbook Error unmarshaling cached books data:json: Unmarshal(non-pointer []models.Book) ResponseTime:
2023-06-16T16:02:42.344 Error book /api/v1/book/ dequeuedata  empty slice found ResponseTime:
2023-06-16T16:02:42.356 INFO book /api/v1/book/ dequequedata  ended ResponseTime:282.1318ms
2023-06-16T16:02:52.213 INFO Main   main Graceful shutdown ResponseTime:27.1080225s
